transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Boundary,31,0.23464459927324657,0.7082081043575126,0.38760123,2.207238,-0.25884664,1.5262094,-0.50185305
Boundary,32,0.35825295104807536,0.7855357958024047,0.4043134,3.0333476,0.18186636,2.5165353,-0.18421032
Boundary,33,0.2492350350977286,0.9393271641068849,0.07863581,1.8842145,-0.81437415,1.741679,-0.020268729
Boundary,34,0.45983294180184764,0.884508220548404,0.09181893,1.2205364,-0.85741115,1.8764017,-0.21540084
Boundary,35,0.2525243464884648,0.8962368588686763,0.07261576,1.1231974,-0.32307655,1.110227,-0.50275004
Boundary,36,0.19419260896774668,0.8714467781915336,0.19199982,1.3278446,-0.79396564,1.2162875,-0.7258577
Boundary,37,0.10919501614351268,0.9456845775947289,0.052273832,1.0490589,0.4046887,1.6557701,-0.8961762
Boundary,38,0.5673231815862808,0.8742004615048972,0.15303159,1.9947346,0.2895739,1.8710059,-0.35645768
Boundary,39,0.4296741086490654,0.9037553819523764,0.08365646,1.8483152,0.013370438,1.827046,0.203983
Boundary,40,0.4456131886629,0.8225729428526386,0.17224678,1.2861571,-0.5230975,1.2132674,-0.77625185
Boundary,41,0.03835800713501487,0.7162438146410173,0.2939937,1.4629159,-0.37620324,1.6300012,-0.28563905
Boundary,42,0.25070074132101045,0.8259186232943424,0.21570542,3.2537658,0.32767105,2.3529203,-0.2041643
Boundary,43,0.15237347674358945,0.871081064221452,0.106598526,0.66605604,-0.72528666,1.094121,-0.6057584
Boundary,44,0.2467872302479376,0.9256876612201185,0.13289936,2.815398,0.55162686,2.3533819,-0.009923603
Boundary,45,0.1487089123416483,0.9490827616459154,0.06128048,0.98389685,-0.41013524,1.394766,0.06707588
Boundary,46,0.25200844660824345,0.6407580416631822,0.3523894,0.88162607,-0.6433479,1.5828764,-0.34245253
Boundary,47,0.28665379960410936,0.8002410195680031,0.24505937,1.3484062,0.5311824,1.4327008,0.54084176
Boundary,48,0.3044371088792914,0.8600513325351532,0.18874934,1.581593,-0.09303847,1.8543453,0.050834026
Boundary,49,0.269153553619179,0.7465112565972287,0.2936309,0.8310208,-0.9777074,0.96837187,-0.16508634
Boundary,50,0.1532814491850534,0.8295327176175358,0.26768562,2.3547423,0.02030704,2.442658,0.0015553926
Boundary,51,0.2545100351896952,0.8891413639036803,0.10830254,1.6180083,-0.3304528,1.6291866,0.0667991
Boundary,52,0.26815427586887725,0.8614444189770372,0.2449582,2.3768456,0.6461551,1.7302668,-0.26817375
Boundary,53,0.25451392693107827,0.9034304921439787,0.10692631,2.1573827,-0.31873474,2.0845335,-0.3540353
Boundary,54,0.2822588937396704,0.85448513590576,0.17142847,2.1754515,0.064189024,2.01563,0.049158704
Boundary,55,0.5866447229344048,0.8529010992180888,0.15747227,1.8374833,-0.030267686,1.769123,0.09219126
Boundary,56,0.2598673648848388,0.9008591199980122,0.106410496,1.470292,-0.21770118,1.1113108,-0.9230598
Boundary,57,0.2510318180363519,0.9089581721944279,0.110192165,1.6391875,-0.095628604,1.5276766,-0.024178129
Boundary,58,0.24371266654645682,0.8936830306460596,0.13802095,0.9304494,0.09445211,1.4873884,0.90197605
Boundary,59,0.10276670641916141,0.8643551259553822,0.14710647,1.4688829,0.13347076,1.9038954,0.7336127
Boundary,60,0.0960877494337616,0.792336017449191,0.2361823,2.393419,0.5713004,2.3763323,0.16016282
Boundary,61,0.5818082102768999,0.9534645384241032,0.074949935,2.2772481,-0.5271291,2.2374723,-0.46156967
Boundary,62,0.6129084743030131,0.9194802641241338,0.08022787,2.9994867,-0.09137467,1.762294,-0.83583146
Boundary,63,0.5964094549013249,0.8924909465886228,0.18842913,2.9835806,0.008522327,2.1785145,-0.056973018
Boundary,64,0.7039943522601115,0.9306709515441522,0.070246115,3.3040366,0.0049135895,2.4815767,0.24227296
Boundary,65,0.25352082428744,0.9937995814864863,0.13625218,2.3166413,0.22754884,1.7671,-0.58020616
Boundary,66,0.6890429012887244,0.972443278141287,0.029650947,1.4320213,-0.24810725,1.7924793,-0.14987056
Boundary,67,0.6061310543773786,0.9686281768807288,0.06775981,2.685584,0.41389418,2.3403032,-0.10148491
Boundary,68,0.570153005434683,0.9166451051445116,0.082625315,2.5675583,-0.75037026,2.0285742,-0.5192129
Boundary,69,0.6447700846949161,0.8724391556907727,0.1840788,2.855659,-0.025029259,2.170092,-0.18944247
Boundary,70,0.5764723642484779,0.8735575715894267,0.12538485,2.7904813,-0.5056549,1.9348503,-0.30668855
Boundary,71,0.2642937295160543,0.7477918233700593,0.2843455,1.291665,-0.1493987,1.3631642,-0.3638868
Boundary,72,0.39982345352873877,0.9025245421512015,0.14168268,1.9993551,0.11351558,2.3389838,0.48054773
Boundary,73,0.4482807164363615,0.8465401101125644,0.12648758,1.7929294,-0.51975673,1.3923254,-0.76394886
Boundary,74,0.03612341110244637,0.8396398050460122,0.11703319,1.1909152,-0.7192886,1.2973301,-0.38213623
Boundary,75,0.07169780317928728,0.8616970437164659,0.109672934,1.1218596,-0.5698979,1.126877,-0.79759705
Boundary,76,0.016674718333186105,0.9413687871075377,0.0645629,1.9524926,-0.37295806,1.680972,-0.4930943
Boundary,77,0.01563963434733255,0.9312084884921629,0.08145453,1.7611752,0.51705986,1.5298237,0.41839305
Boundary,78,0.1321274093805714,0.752958272912628,0.3456179,2.0915759,0.7099291,1.9632311,1.00543
Boundary,79,0.018531942500473183,0.6590422509844801,0.40100223,1.4281448,-0.04871542,0.99882436,-0.33107522
Boundary,80,0.004361284005495916,0.9621527574041434,0.048081934,1.5950618,-0.2752082,1.6733544,0.20355992
Boundary,81,0.2713829211350008,0.8092514696607837,0.14690897,1.194334,-0.72212875,1.2316877,-0.09204467
Boundary,82,0.24781838201225273,0.6568794899339102,0.37090212,1.0257951,-0.4333897,1.2014837,0.10070896
Boundary,83,0.275698475254252,0.9407016024946895,0.062308602,1.259698,-0.5824463,1.3407695,-0.14485283
Boundary,84,0.2514490225989968,0.7170618111194547,0.18259467,1.718665,-0.09820386,1.3494772,-0.1408311
Boundary,85,0.4394072546324264,0.8640240059228443,0.09759865,2.2081916,-0.5322614,1.48263,-0.5509142
Boundary,86,0.6059775584628332,0.9649744580045069,0.12467894,3.4886801,-0.084081426,4.0286717,0.25463325
Boundary,87,0.31409835678409675,0.8811648645171555,0.12482366,2.3173811,-0.5752925,1.0272155,-1.4802125
Boundary,88,0.17670976434957433,0.7498666296376355,0.25504562,1.9240277,0.31130436,1.9371543,0.2129382
Boundary,89,0.3964183662122942,0.8329077806236432,0.15625358,1.1050049,-0.1791212,1.3288792,0.38806903
Boundary,90,0.24308571742577678,0.8651565075838137,0.13665682,1.2886435,-0.83332604,1.7554666,0.12954535
Boundary,91,0.1567451206592804,0.7845101932055588,0.30936265,2.015879,-0.0932166,1.3692497,-0.30751994
Boundary,92,0.28408589056607386,0.5074653237744229,0.59324884,3.114912,0.88052416,1.3561137,0.0017274666
Boundary,93,0.15242908107670128,0.558401604408573,0.37695238,2.4734893,0.53814673,0.8698903,0.06660353
Boundary,94,0.2511658588209029,0.8965458121971762,0.19079503,2.6505594,0.86760104,1.6150972,0.16139859
Boundary,95,0.3901698063758272,0.9146224170549824,0.14401236,2.635159,0.53344977,2.1438684,0.22053364
Boundary,96,0.5712071237664277,0.8273301409948473,0.35297632,2.084297,-0.07317256,2.4802518,-0.111443765
Boundary,97,0.006082891977434263,0.5742116875168405,0.53446734,2.0236783,0.37796885,1.3437965,0.2018646
Boundary,98,0.32127917625179614,0.8036924416694736,0.2696424,4.1099896,1.3384814,2.4581413,0.6997938
Boundary,99,0.31164190015450544,0.620870232311289,0.45141393,3.9387798,0.39003158,1.3249027,-0.78025734
Boundary,100,0.2577911908968992,0.7861698323336135,0.20579472,2.180999,-0.16158463,1.4067578,-0.26721054
Compression_1,1,0.8416327426360067,0.9980740974944247,0.004783178,3.5088542,0.3722019,3.5330787,0.7060647
Compression_1,2,0.790155017195497,0.9900172800685237,0.013987854,1.8124291,0.010935291,1.962869,-0.06129175
Compression_1,3,0.8892734531113273,0.996191457545351,0.009895437,2.936771,-0.04200578,3.9025686,0.5110383
Compression_1,4,0.8231211849170758,0.9918129905992116,0.008533022,2.4554195,0.1489739,2.0190563,0.00069106964
Compression_1,5,0.7622655654160049,0.9940453453329857,0.0067144423,1.2642905,-0.6202049,1.4900547,-0.61956686
Compression_1,6,0.8477120893486046,0.9968123605657047,0.021899337,4.563083,0.9936191,4.104644,0.7051672
Compression_1,7,0.8816657358450519,0.9907712562530153,0.012183021,2.1356633,0.41628966,2.0135298,0.5238192
Compression_1,8,0.8575208383244926,0.9990380106931616,0.0068544773,4.1458554,0.8263603,3.4784935,0.27899295
Compression_1,9,0.7917195877705078,0.9954538687963231,0.004660802,2.779772,0.9915992,2.1005335,0.315234
Compression_1,10,0.7874605009960756,0.9928807646875154,0.00939887,1.6118802,-0.100395545,2.0199757,0.20115277
Compression_1,11,0.7695395246947355,0.9959446176111703,0.0048801266,1.5579278,0.31283173,1.5144053,-0.043470513
Compression_1,12,0.7682135219906946,0.9764611496655651,0.019699316,2.0434906,1.0415205,1.638554,-0.1383291
Compression_1,13,0.6784737865355694,0.9962265958456102,0.005377587,2.1729708,0.22032088,1.8339072,0.21508726
Compression_1,14,0.8204655144942498,0.9937239155715029,0.01341965,1.6497128,0.10135792,2.5227492,0.06899796
Compression_1,15,0.7019875612613881,0.9968162981893647,0.004566144,1.77245,0.39950767,2.0306444,0.1197551
Compression_1,16,0.748109488213661,0.9913165007367466,0.005926961,1.108061,-0.6005963,1.1247778,-0.43281212
Compression_1,17,0.7972755775806818,0.9971891023171103,0.004451487,2.736474,0.6196296,2.0662153,-0.39177862
Compression_1,18,0.7529556151159591,0.9940658557053452,0.010937024,3.7007587,0.10149319,2.4401622,-0.12732653
Compression_1,19,0.8462445042403507,0.9988254921500132,0.004571258,4.2967715,0.37725076,4.1288667,0.52258986
Compression_1,20,0.8093443028562336,0.9839312940395544,0.023123346,1.2547113,-0.12352672,1.6516713,0.30896932
