transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,loss_nss,loss_ig
Boundary,90,0.24308571742577678,0.8881990965329787,0.103866234,2.2413757,-0.42080006,-0.30982523845152454,-0.5216241324676685
Boundary,91,0.1567451206592804,0.639827650267266,0.4004696,2.5952306,0.57921547,0.7611660180364569,0.5531480643424349
Boundary,92,0.28408589056607386,0.7599864915773321,0.35206366,4.4123282,1.3537627,0.4861788160128395,0.3991747064157984
Boundary,93,0.15242908107670128,0.5434931977325932,0.4735845,3.064766,0.8069453,0.41881739064484463,0.16909066792215244
Boundary,94,0.2511658588209029,0.937987040598132,0.20012832,2.792128,0.85980576,0.35719326411344876,0.2458650067245659
Boundary,95,0.3901698063758272,0.7640319121875199,0.23733716,2.5792732,0.608594,0.0722354111183876,0.13826091001245483
Boundary,96,0.5712071237664277,0.661241272531574,0.43714768,2.3965876,0.08306826,0.22250587313833717,0.33231858246866947
Boundary,97,0.006082891977434263,0.7926953974753246,0.2796093,2.4618707,0.5523382,-0.11993243744054394,0.058885202768536093
Boundary,98,0.32127917625179614,0.7993446982396982,0.26384217,5.763692,1.8617939,0.5644989710683301,0.25804461485176167
Boundary,99,0.31164190015450544,0.7410437892367898,0.3092906,4.481816,0.33557007,0.665002221724758,0.26839907272524016
Boundary,100,0.2577911908968992,0.6862308206035609,0.26914138,2.5293906,0.29672223,0.7872871120356604,0.41376035264617594
Compression_1,1,0.8416327426360067,0.9894095051960552,0.025627956,4.0026484,0.376817,-0.0846370289424262,-0.11084251192940231
Compression_1,2,0.790155017195497,0.9765072103980222,0.025592381,2.0370734,0.4878083,-0.12524420184314156,0.07351218218498348
Compression_1,3,0.8892734531113273,0.991857068858337,0.04089711,3.8801582,0.16621608,-0.17632274383183844,-0.4780544851978177
Compression_1,4,0.8231211849170758,0.9683791094149531,0.039771788,4.1252074,0.8638166,0.7874400917080625,0.3775775948811443
Compression_1,5,0.7622655654160049,0.9422441889489709,0.05223184,2.0556731,-0.073588505,0.022284306413832708,-0.00444471110760504
Compression_1,6,0.8477120893486046,0.9898300918178816,0.051290113,4.809944,0.95480746,0.30229606686112287,0.2612270919311702
Compression_1,7,0.8816657358450519,0.9814270972661375,0.018931065,1.8002288,0.3245652,-0.04081718190584774,-0.05234227208935288
Compression_1,8,0.8575208383244926,0.9983746051982724,0.015439296,4.974311,1.0055858,0.6469367449881487,0.3335587061773019
Compression_1,9,0.7917195877705078,0.9848386729035511,0.030395089,3.6036658,1.1472638,0.270842002328047,0.42775283467219194
Compression_1,10,0.7874605009960756,0.9707580669263063,0.041006703,1.9628421,0.21121626,-0.27031231024520586,0.052375283558853264
Compression_1,11,0.7695395246947355,0.9813932643218772,0.04505002,1.6653601,0.44461665,0.3910799457677448,0.49944934800431534
Compression_1,12,0.7682135219906946,0.9694944231521335,0.05331528,2.7172697,1.4539742,0.9242758185361225,0.8374129013657812
Compression_1,13,0.6784737865355694,0.9821629540921567,0.023399059,2.3889,0.3779284,0.483898711888411,0.20460812809964068
Compression_1,14,0.8204655144942498,0.9778021569306843,0.031194787,3.2309778,1.1316534,0.603001189127205,0.3725400491758118
Compression_1,15,0.7019875612613881,0.9738302564684843,0.042769957,2.0887368,0.51702464,0.8213135551026807,0.6790731674921895
Compression_1,16,0.748109488213661,0.9106086176133114,0.040432483,0.7907352,-0.99813366,-0.3284011358979523,-0.23174423875432404
Compression_1,17,0.7972755775806818,0.9346673674582601,0.043284178,1.7854953,-0.124306895,0.5806784442566333,0.8588337240723529
Compression_1,18,0.7529556151159591,0.9836120530612515,0.03970441,3.905451,0.15558027,1.2051415068000748,0.6831693193478228
Compression_1,19,0.8462445042403507,0.9918255374721937,0.027925037,5.1759677,0.65609336,0.22371070876620813,0.17272259856404198
Compression_1,20,0.8093443028562336,0.859300005135059,0.16858988,1.3960994,0.07508945,-0.2822267378484573,-0.21300127101277463
Compression_1,21,0.7925060796269721,0.9978049856001059,0.02949732,5.361963,1.2751038,0.5317291028010629,0.6889486550996592
Compression_1,22,0.8015831292186286,0.9673230911108608,0.0542052,3.2985606,0.333848,0.13893445396744508,-0.1428246374416216
Compression_1,23,0.8244099697323676,0.9788078014968628,0.039953824,3.196162,1.19457,-0.0270124903179364,-0.0418154160995855
Compression_1,24,0.788943976684347,0.9666620481063397,0.041464195,3.368913,0.7877806,0.7247048444513983,0.44055770872203776
Compression_1,25,0.7960203316123433,0.9739917451213889,0.035304036,4.2134767,0.1024932,0.2072253963159587,-0.36541581640962
Compression_1,26,0.7304393322694488,0.9463191449299672,0.04305041,1.9438225,-0.22578402,-0.05578175003781846,-0.17669513374454893
Compression_1,27,0.9402959513646797,0.9710279332773728,0.027344061,3.5952628,0.8617386,-0.17758039049775587,0.02479002449374368
Compression_1,28,0.8265481325079964,0.764032483785396,0.19177198,2.2796924,0.68148667,-0.27696321707552385,-0.029706590043044323
Compression_1,29,0.8088984773667193,0.9667079523883674,0.037174933,0.90789276,-0.07297165,-0.5609607151728072,-0.42008991896879905
Compression_1,30,0.8508422945326689,0.9091446880616931,0.10108374,1.9263022,-0.1239056,-0.46604076836907143,0.015358119405479986
Compression_1,31,0.7764460655325737,0.9574266314370062,0.035049807,2.6056914,-0.2076544,-0.31059061723625053,-0.02257639474885903
Compression_1,32,0.8054414936886536,0.9810097007897469,0.06286995,3.1166294,0.22213593,0.11832619272718176,0.23123328614018673
Compression_1,33,0.7709807505105534,0.9378281014518259,0.07886039,2.595626,0.24308988,0.8974479073435613,0.8174914166397615
Compression_1,34,0.9017981853726651,0.9351968193302578,0.07067879,1.8069247,-0.3694626,-0.0752399048884137,0.0018736126955479215
Compression_1,35,0.8026319148108746,0.9824201743962225,0.013884565,1.3501881,-0.26369634,1.0885530374611085,0.5116246530375562
Compression_1,36,0.7478426242188911,0.9898816506067919,0.0060646757,1.2316531,-0.8778576,0.5984988394292967,0.2003126767944654
Compression_1,37,0.8780391932649417,0.9624444595830554,0.023427349,1.8325655,0.83614177,3.6362932210726617,2.0624793791889724
Compression_1,38,0.8675697843203363,0.9862974819743949,0.02414691,2.4834466,0.49233595,0.4102062291638602,0.38501079466197513
Compression_1,39,0.8185687473515095,0.9626864030827149,0.03997458,1.4849262,-0.19753869,0.10150272360388624,0.10957563932259368
Compression_1,40,0.8319695099477439,0.9759436343875567,0.020667117,1.0388715,-0.6761028,0.3248605294149651,0.36914953655014193
Compression_1,41,0.789982210506068,0.9949376523616283,0.0040012356,1.2824403,-0.42850316,0.14755158727479278,0.09744340004257979
Compression_1,42,0.9350408577524071,0.9758972699620828,0.11052723,4.545988,0.78929913,0.4011618907064639,0.5836150431576695
Compression_1,43,0.77920477274983,0.9421957886511784,0.047629017,1.2778158,-0.1402206,0.5210475682840638,0.36561644349476385
Compression_1,44,0.9319901378406165,0.9891984195534423,0.05998547,2.5783062,0.57740724,-0.3628863323748833,0.025021916332368777
Compression_1,45,0.7719251854934018,0.9672151479878074,0.030333813,1.3203777,0.008177321,0.29690084355471147,0.5812073579791799
Compression_1,46,0.7408791639795783,0.9721776070215964,0.024991479,1.064358,-0.39289543,-0.1485126619009072,-0.11698377984114938
Compression_1,47,0.9160069189085306,0.9145493270486202,0.08524378,0.6936795,-0.33116218,0.20328812717883585,0.3283497298883295
Compression_1,48,0.7878605654907836,0.917080568467205,0.07225205,1.3718692,-0.45945764,0.1255318257648343,0.3113346108209883
Compression_1,49,0.745333709013364,0.9866235619021111,0.015823446,0.75497043,-0.943759,0.7839092975211551,0.7404852336305056
Compression_1,50,0.9117337303079142,0.9900855567435586,0.013968645,2.4263604,0.067457944,-0.5024692243298716,-0.3118864033302406
Compression_1,51,0.75752554465353,0.9685315282660785,0.045626394,1.5694287,-0.20748861,-0.11245621393155247,0.21641474647438405
Compression_1,52,0.7940108711376505,0.9909292565521893,0.01304949,2.7351618,0.87640584,-0.08650293847990831,0.21319672147459245
Compression_1,53,0.8199952611001922,0.9296672503473307,0.07050219,1.2919292,-0.9753425,-1.583909915049167,-0.913597227571698
Compression_1,54,0.869172639093887,0.9911735523223795,0.014360197,2.1516643,0.10996611,-0.07412492015864738,0.5216093745519922
Compression_1,55,0.9283268342441748,0.9859130525125801,0.0101183625,1.8069149,-0.00042635042,-0.22595440548432028,-0.20985018407406833
Compression_1,56,0.8114771563020481,0.9721765723014272,0.018435549,1.2728046,-0.3695538,-0.03481113140734293,-0.4104318879177053
Compression_1,57,0.7872191694537053,0.9635412943091953,0.030577438,1.4421101,-0.34778568,-0.4682347255411802,-0.045115677343312566
Compression_1,58,0.8879815344205017,0.9427171725327337,0.059499852,0.6259268,-0.066124335,1.6788895970146571,1.0102324108672533
Compression_1,59,0.8834459403977286,0.9608252497127072,0.038271703,1.4700007,0.07528582,-0.5077772754220558,-0.3574754584622163
Compression_1,60,0.9444785706448714,0.9952117120107352,0.033240374,2.1933517,0.32375777,0.4545307003119282,0.22596913855089476
Compression_1,61,0.8595316176593175,0.9935632733647922,0.0059167882,2.687024,-0.32017496,-0.12419116524435037,0.008071243574295284
Compression_1,62,0.7728409960688821,0.992744053977862,0.008632924,3.9729095,0.45989716,-0.1399445695892234,-0.15867385101087278
Compression_1,63,0.9222983594992343,0.9956481853387797,0.017289681,5.286795,1.0304681,0.6213856659608448,0.5675351607424237
Compression_1,64,0.8004853592237818,0.9721716871332062,0.056852553,3.925084,0.31753764,0.5873169327055681,0.15853233397114402
Compression_1,65,0.7445114725006867,0.9977433379253358,0.005573469,1.8833612,-0.1576593,-0.2822100010890294,-0.20489125020590607
Compression_1,66,0.8611755397042171,0.9862716533535033,0.012312701,1.6117663,-0.07837024,1.8093945224491623,0.7023917347415002
Compression_1,67,0.8573026546401087,0.9913197924909304,0.014442377,2.9344783,0.67579126,0.04126785574089853,0.17471950860542546
Compression_1,68,0.7905201828724276,0.9928784693500609,0.006036956,3.2582395,-0.31814262,0.4882855016499817,0.18245849908598866
Compression_1,69,0.8137687210394379,0.9758821813939599,0.032123677,3.2149048,0.050237644,-0.2586536573606392,-0.3711848793623171
Compression_1,70,0.8615759043113004,0.9943717528317398,0.011289118,4.777994,0.28404212,0.25756903752029037,-0.03625857387295389
Compression_1,71,0.6946138765220692,0.9850340631005976,0.0073133092,1.241492,-0.30233788,0.5589284870749036,0.6893749364014324
Compression_1,72,0.469514614720806,0.9863514625170959,0.02630735,1.6875954,0.23246597,-0.027156731346876795,-0.04470508244052826
Compression_1,73,0.7716321371806979,0.9854370837905756,0.010859957,1.8738122,-0.6134722,-0.5429244713421248,-0.2856218131626944
Compression_1,74,0.6711670628452123,0.9792055424642472,0.016202958,1.8272815,-0.12832098,0.5347160179281994,0.1204715883885219
Compression_1,75,0.5921838321175824,0.9835673393416549,0.0077247885,1.3093039,-0.6273242,1.0122451674511714,0.6981326633122267
Compression_1,76,0.7809566836218443,0.9478072090444983,0.054180928,1.5916693,-0.38972363,-0.49658068788183185,-0.31952565681889344
Compression_1,77,0.8000005984265827,0.8806864740413646,0.11185807,1.7877102,0.5684366,0.3621453227750192,0.19184925392922755
Compression_1,78,0.7522410775239433,0.9945538918662777,0.021462284,2.3054247,0.65285444,0.06283721938775544,-0.05330874899815574
Compression_1,79,0.7554932347385218,0.9786716437280788,0.01079603,1.5037888,0.11626229,1.2976226087587597,1.05439467864476
Compression_1,80,0.8676762604555104,0.9168066781734631,0.04336793,1.6591455,-0.27619573,0.37183288903772055,-0.047968961257727843
Compression_1,81,0.7800333140407177,0.9773453680101538,0.021583185,1.2766055,-0.7209854,-0.5333780483706563,-0.47235517568501817
Compression_1,82,0.8636305883942565,0.9139041481476033,0.111102715,1.1142899,-0.51021636,1.0385300673711144,1.027242775924869
Compression_1,83,0.7717497933016157,0.924084751435835,0.039867915,1.5754329,-0.44015273,0.303736625719514,-0.17973584742675058
Compression_1,84,0.8237776304806604,0.9713682225782562,0.027998341,1.8142561,0.11105892,0.3550206785440196,0.2066054233527722
Compression_1,85,0.8862416830769094,0.974623522941955,0.020343669,1.5323969,-0.9781677,-1.463463185668814,-0.767185745134634
Compression_1,86,0.6704062708024576,0.993784323115623,0.030772546,3.5796719,0.05288372,-0.2341337773491435,0.07018416905166613
Compression_1,87,0.7791241481517829,0.9558651086678011,0.041010655,3.2320814,-0.34160495,0.16128419938152821,0.0685922109879537
Compression_1,88,0.8932234738457793,0.9551604681354835,0.07058227,1.4819338,0.2072715,0.5101464311160955,0.38869714847564285
Compression_1,89,0.8503290068766618,0.9511786962647075,0.035441637,1.1162105,-0.16016805,-0.3811764441464786,-0.06648435510549057
Compression_1,90,0.8411144336175775,0.9844721157536551,0.019789886,2.2413757,-0.42080006,0.14253121284400821,-0.13802122654228832
Compression_1,91,0.8405461396660906,0.9901076206213566,0.017115297,2.5952306,0.57921547,0.3230946077583198,0.1584777110628683
Compression_1,92,0.8015870219708772,0.9802823671319485,0.048490025,4.4123282,1.3537627,0.2044613464420899,0.10782088970195391
Compression_1,93,0.8290501774225486,0.9550312636084682,0.06340034,3.064766,0.8069453,0.48345264781620834,0.1517849617716524
Compression_1,94,0.8121483442229779,0.9898883885629824,0.03393047,2.792128,0.85980576,1.1434299979424503,0.886235040615774
Compression_1,95,0.7063004968156311,0.9956333106704917,0.00679236,2.5792732,0.608594,-0.13568805565268005,-0.056088537712411846
Compression_1,96,0.8414183762227107,0.9927719043211292,0.015529542,2.3965876,0.08306826,-0.3432529345916403,-0.36323362747370475
Compression_1,97,0.838317134945533,0.9821544008487242,0.021277707,2.4618707,0.5523382,0.021690426824262032,0.09501644986191435
Compression_1,98,0.7503064786414466,0.9926596843522,0.030902632,5.763692,1.8617939,0.6805682877875368,0.2671072306418083
Compression_1,99,0.8296827360772084,0.9840255743963857,0.036592077,4.481816,0.33557007,0.4103629975230747,0.08992256416265534
Compression_1,100,0.8224917386626117,0.9738125497769267,0.027085928,2.5293906,0.29672223,0.13225003886396525,0.045661841996713914
Compression_2,1,0.7897224067369947,0.9784990505729076,0.059366688,4.0026484,0.376817,-0.16663787180453515,-0.12739941928291815
Compression_2,2,0.6919622284137578,0.943487279352751,0.07761705,2.0370734,0.4878083,-0.004217053484913191,0.24498834699683184
Compression_2,3,0.8595163502423745,0.975353493945364,0.0855308,3.8801582,0.16621608,0.10551360811537192,-0.3570975037073535
Compression_2,4,0.7584676207517789,0.9041774707685809,0.07180383,4.1252074,0.8638166,0.3780583170267617,0.29410735348594674
Compression_2,5,0.6682925627360023,0.9096443271055671,0.12503345,2.0556731,-0.073588505,0.34369329438953405,0.4643906577942157
Compression_2,6,0.8213459916547771,0.9772503589705611,0.09159586,4.809944,0.95480746,0.09683233235285549,0.07748563208440001
Compression_2,7,0.835306340735344,0.9798239355866256,0.030457143,1.8002288,0.3245652,-0.0005607750006744877,0.0007803484540251926
Compression_2,8,0.7598556163090038,0.9951343922880386,0.016542576,4.974311,1.0055858,0.9905690679898662,1.2518387320324948
Compression_2,9,0.7222377153033838,0.9729529226938082,0.10866576,3.6036658,1.1472638,0.29897742327917876,0.5118887748993086
Compression_2,10,0.7107575241943381,0.8768996731181781,0.13412961,1.9628421,0.21121626,-0.15581901778997392,0.32909333064666974
Compression_2,11,0.6685837247500427,0.929007240356986,0.08320002,1.6653601,0.44461665,0.4942286974853857,0.38094831883747476
Compression_2,12,0.7040436142090741,0.9186323748835078,0.12879819,2.7172697,1.4539742,0.9690606016476355,0.9189038689255768
Compression_2,13,0.5671686151186098,0.9437792089284709,0.07180238,2.3889,0.3779284,0.33487616326901126,-0.035934767489424146
Compression_2,14,0.7917980525706169,0.8769295939369214,0.1109705,3.2309778,1.1316534,0.21544226798188393,0.16307747514227766
Compression_2,15,0.612915082799982,0.9144911886059888,0.14453167,2.0887368,0.51702464,1.902182610473936,1.2657119275013495
Compression_2,16,0.6508070049731923,0.8002118788481343,0.113807194,0.7907352,-0.99813366,0.8311418587040147,0.7039768376079496
Compression_2,17,0.726748502764841,0.9343958606900826,0.064056225,1.7854953,-0.124306895,1.1672561742136254,0.7896601482513665
Compression_2,18,0.6789362289864626,0.9729613625989088,0.050789714,3.905451,0.15558027,0.04049893612570066,0.028623834056858102
Compression_2,19,0.8131732663706787,0.9801235667551547,0.039131057,5.1759677,0.65609336,0.5270268306408425,0.35276169269376173
Compression_2,20,0.7019074348269317,0.6942071888202582,0.34595165,1.3960994,0.07508945,-0.15072393663939124,0.05252111512176974
Compression_2,21,0.7115633528085556,0.9946648522240363,0.028458452,5.361963,1.2751038,0.043111397243448146,0.3570806333206648
Compression_2,22,0.7044710842747163,0.923518643603897,0.1222821,3.2985606,0.333848,0.20005642090791387,0.033123882836795404
Compression_2,23,0.7770919805508091,0.9580869107230141,0.086059295,3.196162,1.19457,0.05846081501420519,0.05428026645398182
